course_code,status,canonical_title,canonical_cus,first_seen,last_seen,edition_count,span_months,college_count,colleges,title_variant_count,title_variants,first_programs,latest_programs
D322,RETIRED,Introduction to IT,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cybersecurity and Information Assurance | Bachelor of Science, Software Engineering (BSSWE to MSSWE) | Bachelor of Science, Software Engineering [BSSWE] | Bachelor of Science, Software Engineering [BSSWE_C]"
D323,RETIRED,Data Management - Foundations,3,2022-05,2022-05,1,0,1,College of Information Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud Computing"
D324,RETIRED,Business of IT - Project Management,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cybersecurity and Information Assurance | Bachelor of Science, Data Analytics | Bachelor of Science, Information Technology | Bachelor of Science, Software Engineering (BSSWE to MSSWE)"
D325,RETIRED,Networks,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure | Bachelor of Science, Cybersecurity and Information Assurance"
D326,RETIRED,Advanced Data Management,3,2022-05,2026-06,43,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Data Analytics | Bachelor of Science, Software Engineering (BSSWE to MSSWE) | Bachelor of Science, Software Engineering [BSSWE] | Bachelor of Science, Software Engineering [BSSWE_C]"
D329,RETIRED,Network and Security - Applications,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure | Bachelor of Science, Cybersecurity and Information Assurance"
D330,RETIRED,Data Systems Administration,3,2022-05,2025-07,39,38,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing - Amazon Web Services track | Bachelor of Science, Cloud Computing - Microsoft Azure track"
D332,RETIRED,Penetration Testing and Vulnerability Analysis,4,2023-02,2026-06,41,40,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cybersecurity and Information Assurance","Bachelor of Science, Cybersecurity and Information Assurance"
D333,RETIRED,Ethics in Technology,3,2022-05,2026-06,50,49,4,College of Business | College of Information Technology | School of Business | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Business Management | Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco"
D334,RETIRED,Introduction to Cryptography,4,2022-05,2025-07,39,38,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing - Amazon Web Services track | Bachelor of Science, Cloud Computing - Microsoft Azure track | Bachelor of Science, Network Engineering and Security Cisco Track"
D335,RETIRED,Introduction to Programming in Python,3,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Data Analytics | Bachelor of Science, Software Engineering (BSSWE to MSSWE) | Bachelor of Science, Software Engineering [BSSWE] | Bachelor of Science, Software Engineering [BSSWE_C]"
D336,RETIRED,Business of IT – Applications,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,1,Business of IT - Applications,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
