scope,course_code,title,cus,program_count,colleges,programs
AP,C963,American Politics and the US Constitution,3,27,Leavitt School of Health; School of Business; School of Education; School of Technology,"Bachelor of Arts, Educational Studies in Elementary Education; Bachelor of Arts, Educational Studies in Mild to Moderate Exceptionalities Special Education; Bachelor of Arts, Educational Studies in Secondary Biological Science Education; Bachelor of Arts, Educational Studies in Secondary Chemistry Science Education; Bachelor of Arts, Educational Studies in Secondary Earth Science Education; Bachelor of Arts, Educational Studies in Secondary Mathematics Education; Bachelor of Arts, Educational Studies in Secondary Physics Science Education; Bachelor of Arts, Educational Studies in Special and Elementary Education; Bachelor of Arts, Elementary Education; Bachelor of Arts, Special Education and Elementary Education (Dual Licensure); Bachelor of Arts, Special Education, Mild to Moderate; Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS); Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Analytics; Bachelor of Science, Health Information Management; Bachelor of Science, Healthcare Administration; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology (BSIT to MSIT); Bachelor of Science, Mathematics Education (Secondary); Bachelor of Science, Science Education (Secondary Biological Science); Bachelor of Science, Science Education (Secondary Chemistry); Bachelor of Science, Science Education (Secondary Earth Science); Bachelor of Science, Science Education (Secondary Physics); Bachelor of Science, Software Engineering (BSSWE to MSSWE); Bachelor of Science, Software Engineering [BSSWE]; Bachelor of Science, Software Engineering [BSSWE_C]"
AP,C966,Teaching in the Middle School,2,2,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts in Mathematics Education (Middle Grades)
AP,C968,Software I – C#,6,1,School of Technology,"Bachelor of Science, Software Engineering [BSSWE_C]"
AP,C969,Software II – Advanced C#,6,1,School of Technology,"Bachelor of Science, Software Engineering [BSSWE_C]"
AP,C971,Mobile Application Development Using C#,3,1,School of Technology,"Bachelor of Science, Software Engineering [BSSWE_C]"
AP,C975,Science Methods—Middle Grades General,3,1,School of Education,Master of Arts Science Education (Middle Grades)
AP,C976,Science Methods—Secondary Biology,3,1,School of Education,Master of Arts Science Education (Secondary Biological Science)
AP,C977,Science Methods—Secondary Chemistry,3,1,School of Education,Master of Arts Science Education (Secondary Chemistry)
AP,C978,Science Methods—Secondary Earth Science,3,1,School of Education,Master of Arts Science Education (Secondary Earth Science)
AP,C979,Science Methods—Secondary Physics,3,1,School of Education,Master of Arts Science Education (Secondary Physics)
AP,C992,College Geometry,2,2,School of Education,Master of Arts in Mathematics Education (Middle Grades); Master of Arts in Mathematics Education (Secondary)
AP,CQC2,Calculus II,2,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,CUA1,Culture,3,2,School of Education,"Endorsement Preparation Program, English Language Learning; Master of Arts, English Language Learning"
AP,D016,Leadership Foundations and Ethics,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D017,School Law,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D018,Leading Inclusive Schools,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D019,Data Literacy and Evidence-Based Practices,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D022,People and Talent in Educational Leadership,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D023,School Financial Leadership,3,1,School of Education,"Master of Science, Educational Leadership"
AP,D024,Professional Presence and Influence,2,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D025,Essentials of Advanced Nursing Roles and,2,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D026,Quality Outcomes in a Culture of Value-Based,2,8,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Family Nurse Practitioner (BSN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN); Master of Science, Nursing - Psychiatric Mental Health Nurse Practitioner"
AP,D027,Advanced Pathopharmacological Foundations,3,6,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,D028,Advanced Health Assessment for Patients and,3,6,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Master of Science, Nursing - Leadership and Management (BSN to MSN); Master of Science, Nursing - Leadership and Management (RN to MSN); Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
