boundary_index,start_edition,end_edition,programs_removed_count,programs_added_count,programs_removed,programs_added,removed_titles,added_titles,removed_colleges,added_colleges,removed_cus_values,added_cus_values,total_program_churn,net_program_delta,has_churn
91,2024-10,2024-11,1,1,BSBAMK,BSMKT,BSBAMK: Bachelor of Science Business Administration Marketing,"BSMKT: Bachelor of Science, Marketing",College of Business | School of Business,School of Business,118 | 121 | 122,112,2,0,yes
92,2024-11,2024-12,0,0,,,,,,,,,0,0,no
93,2024-12,2025-01,4,4,BSBAAC | BSBAHR | BSBAIT | BSBAMGC,BSACC | BSHR | BSITM | BSMGT,"BSBAAC: Bachelor of Science Business Administration Accounting | BSBAHR: Bachelor of Science Business Administration Human Resource Management | BSBAIT: Bachelor of Science Business Administration Information Technology Management | BSBAMGC: Bachelor of Science Business Administration, Management","BSACC: Bachelor of Science, Accounting | BSHR: Bachelor of Science, Human Resource Management | BSITM: Bachelor of Science, Information Technology Management | BSMGT: Bachelor of Science, Business Management",College of Business | School of Business,School of Business,120 | 121 | 122,110 | 111 | 117 | 120 | 121,8,0,yes
94,2025-01,2025-02,1,13,MATSES,MATSESB | MATSESC | MATSESE | MATSESP | MATSSES | MSCSAIML | MSCSCS | MSCSHCI | MSCSUG | MSSWEAIE | MSSWEDDD | MSSWEDOE | MSSWEUG,"MATSES: Master of Arts in Teaching, Science Education (Secondary)","MATSESB: Master of Arts in Teaching, Science Education (Secondary Biology) | MATSESC: Master of Arts in Teaching, Science Education (Secondary Chemistry) | MATSESE: Master of Arts in Teaching, Science Education (Secondary Earth Science) | MATSESP: Master of Arts in Teaching, Science Education (Secondary Physics) | MATSSES: Master of Arts in Teaching, Social Studies Education (Secondary) | MSCSAIML: Master of Science, Computer Science, Artificial Intelligence and Machine Learning | MSCSCS: Master of Science, Computer Science, Computing Systems | MSCSHCI: Master of Science, Computer Science, Human-Computer Interaction | MSCSUG: Bachelor of Science, Computer Science (BSCS to MSCS) | MSSWEAIE: Master of Science, Software Engineering - AI Engineering | MSSWEDDD: Master of Science, Software Engineering - Domain Driven Design | MSSWEDOE: Master of Science, Software Engineering - DevOps Engineering | MSSWEUG: Bachelor of Science, Software Engineering (BSSWE to MSSWE)",School of Education | Teachers College,School of Education | School of Technology,39 | 40 | 41 | 43,30 | 31 | 41 | 42 | 116 | 119,14,12,yes
95,2025-02,2025-03,5,0,BAESMEMG | BAESSEMG | BSMEMG | BSSEMG | MATMEMG,,"BAESMEMG: Bachelor of Arts, Educational Studies in Middle Grades Mathematics Education | BAESSEMG: Bachelor of Arts, Educational Studies in Middle Grades Science Education | BSMEMG: Bachelor of Science, Mathematics Education (Middle Grades) | BSSEMG: Bachelor of Science, Science Education (Middle Grades) | MATMEMG: Master of Arts in Teaching, Mathematics Education (Middle Grades)",,School of Education | Teachers College,,42 | 43 | 44 | 46 | 97 | 99 | 122 | 124,,5,-5,yes
96,2025-03,2025-04,0,0,,,,,,,,,0,0,no
97,2025-04,2025-05,1,1,MBAHM,MBAHA,"MBAHM: MBA, Healthcare Management","MBAHA: Master of Business Administration, Healthcare Administration",College of Business | School of Business,School of Business,36,36,2,0,yes
98,2025-05,2025-06,0,0,,,,,,,,,0,0,no
99,2025-06,2025-07,0,7,,ENDECE | ENDMEMG | ENDSEMG | ENDSESB | ENDSESC | ENDSESE | ENDSESP,,"ENDECE: Endorsement Preparation Program, Early Childhood Education | ENDMEMG: Endorsement Preparation Program, Middle Grades Math | ENDSEMG: Endorsement Preparation Program, Middle Grades Science | ENDSESB: Endorsement Preparation Program, Biology | ENDSESC: Endorsement Preparation Program, Chemistry | ENDSESE: Endorsement Preparation Program, Earth Science | ENDSESP: Endorsement Preparation Program, Physics",,School of Education,,6 | 18 | 23 | 28,7,7,yes
100,2025-07,2025-08,5,4,BSCCAWS | BSCCAZR | BSCCMCL | BSNES | BSNES_C,BSCNE | BSCNEAWS | BSCNEAZR | BSCNECIS,"BSCCAWS: Bachelor of Science, Cloud Computing - Amazon Web Services track | BSCCAZR: Bachelor of Science, Cloud Computing - Microsoft Azure track | BSCCMCL: Bachelor of Science, Cloud Computing | BSNES: Bachelor of Science, Network Engineering and Security | BSNES_C: Bachelor of Science, Network Engineering and Security Cisco Track","BSCNE: Bachelor of Science, Cloud and Network Engineering | BSCNEAWS: Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | BSCNEAZR: Bachelor of Science, Cloud and Network Engineering - Microsoft Azure | BSCNECIS: Bachelor of Science, Cloud and Network Engineering - Cisco",College of Information Technology | School of Technology,School of Technology,111 | 120 | 121,109 | 112,9,-1,yes
101,2025-08,2025-09,0,0,,,,,,,,,0,0,no
102,2025-09,2025-10,0,0,,,,,,,,,0,0,no
103,2025-10,2025-11,0,0,,,,,,,,,0,0,no
104,2025-11,2025-12,0,0,,,,,,,,,0,0,no
105,2025-12,2026-01,0,0,,,,,,,,,0,0,no
106,2026-01,2026-02,3,3,ENDECE | MSITM | MSITMUG,MSIT | MSITPM | MSITUG,"ENDECE: Endorsement Preparation Program, Early Childhood Education | MSITM: Master of Science, Information Technology Management | MSITMUG: Bachelor of Science, Information Technology (BSIT to MSITM)","MSIT: Master of Science, Information Technology | MSITPM: Master of Science, Information Technology - Product Management | MSITUG: Bachelor of Science, Information Technology (BSIT to MSIT)",College of Information Technology | School of Education | School of Technology,School of Technology,17 | 18 | 24 | 30 | 122,30 | 32 | 110,6,0,yes
107,2026-02,2026-03,0,0,,,,,,,,,0,0,no
